,User,Date,Compound,Positive,Negative,Neutral,Tweet Text,Tweets Ago
86,@NYTimes,Sun Aug 26 20:37:02 +0000 2018,-0.02,0.0,0.045,0.955,"RT @nytimesbusiness: ""Dots don't matter"" in Gmail addresses, and plus signs have their pluses. Here's how to get more out of your Google ma…",12
87,@NYTimes,Sun Aug 26 20:20:14 +0000 2018,0.0,0.0,0.0,1.0,"A few of the things prosecutors say Rep. Duncan Hunter bought with campaign funds: $14,261.33 family vacation to It… https://t.co/ohnn6WTYCb",13
88,@NYTimes,Sun Aug 26 20:03:06 +0000 2018,0.77,0.258,0.0,0.742,"Here are 13 great titles leaving Netflix in September, including classics like ""A Star is Born"" and modern gems you… https://t.co/RnOFoD3sfN",14
89,@NYTimes,Sun Aug 26 19:50:03 +0000 2018,0.0,0.0,0.0,1.0,"In Opinion

Author Jonathan Rauch writes, “Like it or not, inequality in today’s America drives politics toward rag… https://t.co/YBVezMkom2",15
90,@NYTimes,Sun Aug 26 19:36:09 +0000 2018,-0.77,0.0,0.309,0.691,"Multiple people are dead after a gunman started firing during a video gaming tournament in Jacksonville, Florida, a… https://t.co/m5ErhC8tHC",16
91,@NYTimes,Sun Aug 26 19:31:38 +0000 2018,0.0,0.0,0.0,1.0,Residents of the village with the smallest population in Switzerland wonder if nostalgic tourists and hikers attrac… https://t.co/AWI8LgFFWk,17
92,@NYTimes,Sun Aug 26 19:16:14 +0000 2018,0.32,0.103,0.0,0.897,The current home of the U.S. Open started out as a derelict relic of the 1964 World's Fair. Now it's a state-of-the… https://t.co/J5LAJZAnOd,18
93,@NYTimes,Sun Aug 26 19:00:16 +0000 2018,0.64,0.271,0.0,0.729,RT @NYTSports: U.S. Open players — and fans — share their favorite memories from the tournament https://t.co/fsF9v6LDN6 https://t.co/bYSdG9…,19
94,@NYTimes,Sun Aug 26 18:50:54 +0000 2018,0.0,0.0,0.0,1.0,Authorities report a mass shooting at a Florida bar that was hosting a live-streamed video gaming tournament. https://t.co/suuG1i7rUk,20
95,@NYTimes,Sun Aug 26 18:45:04 +0000 2018,0.2,0.087,0.0,0.913,"Almost everyone involved in Job Corps questions whether it's living up to its ideals, with an outdated program mode… https://t.co/6nZ9k9akzB",21
96,@NYTimes,Sun Aug 26 18:30:04 +0000 2018,-0.54,0.0,0.163,0.837,Arizona might be the only state that makes first-time possession of a small amount of marijuana a felony. In order… https://t.co/pXZYH93hlR,22
97,@NYTimes,Sun Aug 26 18:15:06 +0000 2018,0.0,0.0,0.0,1.0,"RT @NYTSports: Serena Williams said she had a chat with the man who wants to control her wardrobe at the French Open. 
 https://t.co/0MOIN6…",23
98,@NYTimes,Sun Aug 26 18:00:04 +0000 2018,0.67,0.277,0.0,0.723,"Neil Simon helped define American humor in plays, movies, and TV. His works also played significantly in the career… https://t.co/qdlu4o1620",24
99,@NYTimes,Sun Aug 26 17:45:07 +0000 2018,-0.18,0.103,0.13,0.766,"RT @nytimesbusiness: ""Silence is criminal these days,"" says Chobani's Hamdi Ulukaya, known for his hiring of refugees to help in their rese…",25
100,@NYTimes,Sun Aug 26 17:30:05 +0000 2018,0.08,0.064,0.0,0.936,"Brands want to talk to young people without condescending to them. These consulting firms, staffed by 14- to 22-yea… https://t.co/ICItLMbXt2",26
